# from_robot from_pose to_robot to_pose type dx dy dtheta xy_noise_std theta_noise_std
0 67 0 68 odom 1.0786 -0.0821 0.0046 0.1 0.5000
0 68 0 69 odom 0.9877 0.0291 -0.0084 0.1 0.5000
0 69 0 70 odom 1.1334 -0.0485 -0.0040 0.1 0.5000
0 70 0 71 odom -0.2449 0.1099 -1.5638 0.1 0.5000
0 71 0 72 odom 0.9118 -0.0324 -0.0152 0.1 0.5000
0 72 0 73 odom 1.1370 -0.0971 0.0031 0.1 0.5000
0 73 0 74 odom 1.0794 -0.1309 -0.0174 0.1 0.5000
0 74 0 75 odom 0.9131 -0.0027 -0.0074 0.1 0.5000
0 75 0 76 odom 1.0710 -0.1301 -0.0009 0.1 0.5000
0 76 0 77 odom 0.9148 0.0447 0.0020 0.1 0.5000
0 77 0 78 odom 1.0125 -0.3078 -0.0182 0.1 0.5000
0 41 0 78 loop 3.4877 -2.1148 1.5020 0.15 1.0000
0 78 0 79 odom -0.0701 0.2308 1.5650 0.1 0.5000
0 41 0 79 loop 3.5527 -2.3471 3.0670 0.15 1.0000
0 79 0 80 odom 0.8835 -0.0259 -0.0047 0.1 0.5000
0 40 0 80 loop 3.6000 -2.2842 3.0524 0.15 1.0000
0 80 0 81 odom 1.1356 -0.2681 -0.0176 0.1 0.5000
0 40 0 81 loop 2.4775 -1.9658 3.0348 0.15 1.0000
0 81 0 82 odom 1.2023 0.0131 0.0061 0.1 0.5000
0 38 0 82 loop 3.4026 -1.5909 3.0516 0.15 1.0000
0 82 0 83 odom -0.1163 0.0130 1.5573 0.1 0.5000
0 38 0 83 loop 3.4216 -1.4755 -1.6744 0.15 1.0000
0 83 0 84 odom 1.0814 -0.1228 0.0115 0.1 0.5000
0 84 0 85 odom 1.0829 -0.0395 -0.0036 0.1 0.5000
0 85 0 86 odom 1.0294 -0.0948 0.0133 0.1 0.5000
0 86 0 87 odom 1.2826 -0.0706 0.0032 0.1 0.5000
0 87 0 88 odom 0.7765 0.0179 0.0215 0.1 0.5000
0 88 0 89 odom 0.0469 -0.0422 -1.5708 0.1 0.5000
0 89 0 90 odom 0.9142 0.0651 -0.0033 0.1 0.5000
0 90 0 91 odom 1.1600 0.0257 -0.0166 0.1 0.5000
0 91 0 92 odom 0.0979 -0.1039 1.5810 0.1 0.5000
0 86 0 92 loop -2.3197 -2.1630 0.0151 0.15 1.0000
0 92 0 93 odom 1.0933 -0.1410 0.0063 0.1 0.5000
0 87 0 93 loop -2.3650 -1.9748 0.0182 0.15 1.0000
0 93 0 94 odom 0.9440 0.0066 -0.0026 0.1 0.5000
0 88 0 94 loop -2.3830 -2.1422 -0.0060 0.15 1.0000
0 94 0 95 odom 1.1025 0.0146 0.0096 0.1 0.5000
0 95 0 96 odom 1.0692 -0.0689 -0.0004 0.1 0.5000
0 96 0 97 odom 1.0579 -0.0388 0.0036 0.1 0.5000
0 97 0 98 odom 0.9644 -0.0042 0.0034 0.1 0.5000
0 98 0 99 odom 0.8857 -0.0200 0.0107 0.1 0.5000
0 99 0 100 odom 0.9720 -0.0098 -0.0124 0.1 0.5000
0 100 0 101 odom 0.8984 -0.1807 0.0106 0.1 0.5000
0 101 0 102 odom 1.1498 0.0687 -0.0011 0.1 0.5000
0 102 0 103 odom 0.9090 -0.0131 -0.0025 0.1 0.5000
0 103 0 104 odom 0.9916 0.1134 0.0023 0.1 0.5000
0 104 0 105 odom 0.9074 0.0613 -0.0055 0.1 0.5000
0 105 0 106 odom 0.9281 -0.1331 0.0121 0.1 0.5000
0 106 0 107 odom 1.0566 0.0231 -0.0037 0.1 0.5000
0 107 0 108 odom 0.0089 0.0338 1.5837 0.1 0.5000
0 108 0 109 odom -0.1434 -0.0662 1.5764 0.1 0.5000
0 109 0 110 odom -0.0762 0.1548 1.5835 0.1 0.5000
0 110 0 111 odom -0.1885 0.1763 1.5771 0.1 0.5000
0 105 0 111 loop 0.2507 -2.0473 0.0460 0.15 1.0000
0 111 0 112 odom 0.8810 0.0300 -0.0001 0.1 0.5000
0 106 0 112 loop 0.4427 -1.9951 0.0339 0.15 1.0000
0 112 0 113 odom 1.1623 -0.0070 0.0147 0.1 0.5000
0 113 0 114 odom 1.0357 -0.0310 -0.0096 0.1 0.5000
0 114 0 115 odom 0.9814 -0.0412 0.0119 0.1 0.5000
0 115 0 116 odom 0.9261 0.0782 -0.0089 0.1 0.5000
0 116 0 117 odom 0.8498 0.0110 -0.0044 0.1 0.5000
0 117 0 118 odom 1.1130 -0.1026 0.0035 0.1 0.5000
0 118 0 119 odom -0.0794 -0.1196 1.5586 0.1 0.5000
0 119 0 120 odom -0.0429 -0.0471 -1.5569 0.1 0.5000
0 120 0 121 odom 0.0596 0.1878 1.5707 0.1 0.5000
0 121 0 122 odom -0.1075 -0.0341 1.5754 0.1 0.5000
0 116 0 122 loop -0.0121 -1.9622 -3.1362 0.15 1.0000
0 122 0 123 odom 1.0840 0.0166 0.0008 0.1 0.5000
0 116 0 123 loop -0.1007 -0.8817 -3.1354 0.15 1.0000
0 123 0 124 odom 0.9448 -0.0450 -0.0068 0.1 0.5000
0 114 0 124 loop 0.0485 -1.8376 -3.1391 0.15 1.0000
0 124 0 125 odom 0.0232 0.0944 1.5642 0.1 0.5000
0 114 0 125 loop 0.0303 -1.9331 -1.5749 0.15 1.0000
0 125 0 126 odom 1.0562 -0.0205 -0.0181 0.1 0.5000
0 114 0 126 loop -1.0259 -1.9496 -1.5931 0.15 1.0000
0 126 0 127 odom -0.1331 -0.0001 1.5701 0.1 0.5000
0 114 0 127 loop -1.0306 -1.8166 -0.0230 0.15 1.0000
0 127 0 128 odom 1.1467 -0.0301 -0.0173 0.1 0.5000
0 116 0 128 loop -1.2019 -1.0621 -0.0433 0.15 1.0000
0 128 0 129 odom 0.9362 -0.0490 -0.0075 0.1 0.5000
0 116 0 129 loop -1.2420 -1.9987 -0.0508 0.15 1.0000
0 129 0 130 odom 0.9405 0.0651 0.0009 0.1 0.5000
0 117 0 130 loop -1.2256 -2.0907 -0.0455 0.15 1.0000
0 130 0 131 odom 0.9489 0.0405 -0.0053 0.1 0.5000
0 118 0 131 loop -1.1439 -1.9223 -0.0543 0.15 1.0000
0 131 0 132 odom 0.9981 -0.0822 -0.0177 0.1 0.5000
0 132 0 133 odom 1.0945 0.1303 0.0001 0.1 0.5000
0 133 0 134 odom 0.8571 -0.0901 -0.0017 0.1 0.5000
0 134 0 135 odom 0.0675 0.1397 1.5669 0.1 0.5000
0 135 0 136 odom 1.0000 0.0206 0.0049 0.1 0.5000
0 136 0 137 odom 0.8247 -0.0217 -0.0011 0.1 0.5000
0 137 0 138 odom 1.0329 -0.2705 -0.0004 0.1 0.5000
0 138 0 139 odom 0.9607 -0.1125 0.0123 0.1 0.5000
0 139 0 140 odom 0.9470 0.0966 0.0152 0.1 0.5000
0 140 0 141 odom 0.8800 -0.0369 -0.0029 0.1 0.5000
0 141 0 142 odom 0.9557 -0.0340 0.0167 0.1 0.5000
0 142 0 143 odom 1.0053 -0.0845 0.0047 0.1 0.5000
0 143 0 144 odom 0.9552 -0.1341 -0.0098 0.1 0.5000
0 144 0 145 odom 0.9406 0.0256 -0.0012 0.1 0.5000
0 145 0 146 odom 1.0508 0.0538 0.0065 0.1 0.5000
0 146 0 147 odom 1.0500 0.1354 -0.0036 0.1 0.5000
0 147 0 148 odom 0.9571 0.0680 0.0016 0.1 0.5000
0 148 0 149 odom 0.0191 -0.1475 1.5735 0.1 0.5000
0 149 0 150 odom 0.9959 -0.1937 -0.0074 0.1 0.5000
0 150 0 151 odom 1.0010 -0.0475 0.0238 0.1 0.5000
0 151 0 152 odom 0.9750 -0.0271 -0.0132 0.1 0.5000
0 152 0 153 odom 0.9660 -0.1501 -0.0043 0.1 0.5000
0 153 0 154 odom 1.1413 -0.0618 -0.0059 0.1 0.5000
0 154 0 155 odom -0.0439 0.0353 -1.5626 0.1 0.5000
0 155 0 156 odom -0.0223 -0.1546 -1.5746 0.1 0.5000
0 156 0 157 odom 0.8056 -0.0815 0.0104 0.1 0.5000
0 151 0 157 loop -0.0926 2.3318 3.1330 0.15 1.0000
0 157 0 158 odom 1.0559 0.1556 -0.0055 0.1 0.5000
0 151 0 158 loop 0.0942 1.2810 3.1274 0.15 1.0000
0 158 0 159 odom 0.9775 -0.0396 0.0146 0.1 0.5000
0 146 0 159 loop 2.4239 2.5789 -1.5533 0.15 1.0000
0 159 0 160 odom 1.0708 0.0580 -0.0031 0.1 0.5000
0 146 0 160 loop 2.5259 1.5114 -1.5564 0.15 1.0000
0 160 0 161 odom 0.9690 0.0555 -0.0084 0.1 0.5000
0 146 0 161 loop 2.6130 0.5448 -1.5648 0.15 1.0000
0 161 0 162 odom -0.0158 0.0656 -1.5777 0.1 0.5000
0 147 0 162 loop 1.5839 0.3199 -3.1390 0.15 1.0000
0 162 0 163 odom 1.2495 0.1956 0.0080 0.1 0.5000
0 145 0 163 loop 2.4372 0.3238 -3.1281 0.15 1.0000
0 163 0 164 odom 1.0422 0.0478 0.0113 0.1 0.5000
0 144 0 164 loop 2.3381 0.2738 -3.1179 0.15 1.0000
0 164 0 165 odom 1.0499 -0.0154 0.0038 0.1 0.5000
0 143 0 165 loop 2.2466 0.1242 -3.1240 0.15 1.0000
0 165 0 166 odom 1.0850 0.0905 0.0035 0.1 0.5000
0 142 0 166 loop 2.1752 -0.0759 -3.1158 0.15 1.0000
0 166 0 167 odom 1.1990 -0.0744 0.0056 0.1 0.5000
0 141 0 167 loop 1.9302 -0.0796 -3.0936 0.15 1.0000
0 167 0 168 odom 1.0831 0.0032 -0.0081 0.1 0.5000
0 140 0 168 loop 1.7289 -0.1650 -3.1046 0.15 1.0000
0 168 0 169 odom 1.0259 0.1736 -0.0023 0.1 0.5000
0 139 0 169 loop 1.6582 -0.2784 -3.0917 0.15 1.0000
0 169 0 170 odom 1.0164 -0.0056 -0.0011 0.1 0.5000
0 138 0 170 loop 1.6031 -0.4347 -3.0805 0.15 1.0000
0 170 0 171 odom 0.1054 -0.0489 1.5869 0.1 0.5000
0 138 0 171 loop 1.5608 -0.5430 -1.4937 0.15 1.0000
0 171 0 172 odom 0.8670 0.1475 -0.0051 0.1 0.5000
0 138 0 172 loop 1.7578 -1.4001 -1.4987 0.15 1.0000
0 172 0 173 odom 1.0604 0.0784 -0.0022 0.1 0.5000
0 138 0 173 loop 1.8944 -2.4546 -1.5010 0.15 1.0000
0 173 0 174 odom 0.0762 0.0783 1.5600 0.1 0.5000
0 138 0 174 loop 1.9670 -2.3730 0.0590 0.15 1.0000
0 174 0 175 odom 0.0117 0.0105 -1.5644 0.1 0.5000
0 138 0 175 loop 1.9782 -2.3842 -1.5054 0.15 1.0000
0 175 0 176 odom 0.9564 0.0471 -0.0008 0.1 0.5000
0 176 0 177 odom 0.0144 -0.0396 1.5650 0.1 0.5000
0 177 0 178 odom -0.0350 -0.0668 -1.5629 0.1 0.5000
0 172 0 178 loop 0.2627 -1.9444 -0.0053 0.15 1.0000
0 178 0 179 odom -0.1535 -0.1501 -1.5650 0.1 0.5000
0 172 0 179 loop 0.4073 -1.7857 -1.5702 0.15 1.0000
0 179 0 180 odom 1.0396 0.1484 0.0033 0.1 0.5000
0 172 0 180 loop -0.6213 -1.9973 -1.5669 0.15 1.0000
0 180 0 181 odom 0.1686 -0.0090 1.5681 0.1 0.5000
0 172 0 181 loop -0.6205 -2.1662 0.0011 0.15 1.0000
0 181 0 182 odom 1.0982 0.0256 0.0029 0.1 0.5000
0 173 0 182 loop -0.6641 -2.2062 0.0063 0.15 1.0000
0 182 0 183 odom 1.1610 -0.0415 0.0059 0.1 0.5000
0 176 0 183 loop -0.8059 -2.4849 0.0174 0.15 1.0000
0 183 0 184 odom 1.1439 -0.0426 -0.0065 0.1 0.5000
0 184 0 185 odom 0.8497 0.0189 -0.0009 0.1 0.5000
0 185 0 186 odom -0.0039 0.1007 1.5582 0.1 0.5000
0 186 0 187 odom 0.8501 0.1117 -0.0066 0.1 0.5000
0 187 0 188 odom 0.9894 -0.1357 0.0094 0.1 0.5000
0 188 0 189 odom 1.0802 -0.1941 0.0170 0.1 0.5000
0 189 0 190 odom 0.9920 0.0098 -0.0145 0.1 0.5000
0 190 0 191 odom 0.9273 -0.0167 0.0121 0.1 0.5000
0 191 0 192 odom 1.0574 0.2270 -0.0193 0.1 0.5000
0 192 0 193 odom 1.0753 0.0872 -0.0083 0.1 0.5000
0 193 0 194 odom -0.1215 -0.0822 1.5743 0.1 0.5000
0 194 0 195 odom 1.1089 -0.0864 0.0053 0.1 0.5000
0 195 0 196 odom -0.0089 0.0354 1.5664 0.1 0.5000
0 196 0 197 odom 1.0690 -0.0132 0.0072 0.1 0.5000
0 191 0 197 loop 1.1818 1.3217 3.1255 0.15 1.0000
0 197 0 198 odom 0.9556 0.0188 0.0101 0.1 0.5000
0 189 0 198 loop 2.1456 1.3520 3.1333 0.15 1.0000
0 198 0 199 odom 0.8853 0.0362 -0.0099 0.1 0.5000
0 188 0 199 loop 2.3539 1.1514 3.1404 0.15 1.0000
