# robot_id pose_id x y theta
0 135 7.0000 -41.0000 0.0000
0 136 8.0000 -41.0000 0.0000
0 137 9.0000 -41.0000 0.0000
0 138 10.0000 -41.0000 0.0000
0 139 11.0000 -41.0000 0.0000
0 140 12.0000 -41.0000 0.0000
0 141 13.0000 -41.0000 0.0000
0 142 14.0000 -41.0000 0.0000
0 143 15.0000 -41.0000 0.0000
0 144 16.0000 -41.0000 0.0000
0 145 17.0000 -41.0000 0.0000
0 146 18.0000 -41.0000 0.0000
0 147 19.0000 -41.0000 0.0000
0 148 20.0000 -41.0000 0.0000
0 149 20.0000 -41.0000 1.5708
0 150 20.0000 -40.0000 1.5708
0 151 20.0000 -39.0000 1.5708
0 152 20.0000 -38.0000 1.5708
0 153 20.0000 -37.0000 1.5708
0 154 20.0000 -36.0000 1.5708
0 155 20.0000 -36.0000 0.0000
0 156 20.0000 -36.0000 -1.5708
0 157 20.0000 -37.0000 -1.5708
0 158 20.0000 -38.0000 -1.5708
0 159 20.0000 -39.0000 -1.5708
0 160 20.0000 -40.0000 -1.5708
0 161 20.0000 -41.0000 -1.5708
0 162 20.0000 -41.0000 -3.1416
0 163 19.0000 -41.0000 -3.1416
0 164 18.0000 -41.0000 -3.1416
0 165 17.0000 -41.0000 -3.1416
0 166 16.0000 -41.0000 -3.1416
0 167 15.0000 -41.0000 -3.1416
0 168 14.0000 -41.0000 -3.1416
0 169 13.0000 -41.0000 -3.1416
0 170 12.0000 -41.0000 -3.1416
0 171 12.0000 -41.0000 -1.5708
0 172 12.0000 -42.0000 -1.5708
0 173 12.0000 -43.0000 -1.5708
0 174 12.0000 -43.0000 0.0000
0 175 12.0000 -43.0000 -1.5708
0 176 12.0000 -44.0000 -1.5708
0 177 12.0000 -44.0000 0.0000
0 178 12.0000 -44.0000 -1.5708
0 179 12.0000 -44.0000 -3.1416
0 180 11.0000 -44.0000 -3.1416
0 181 11.0000 -44.0000 -1.5708
0 182 11.0000 -45.0000 -1.5708
0 183 11.0000 -46.0000 -1.5708
0 184 11.0000 -47.0000 -1.5708
0 185 11.0000 -48.0000 -1.5708
0 186 11.0000 -48.0000 0.0000
0 187 12.0000 -48.0000 0.0000
